id,MSISID,LEVEL,URL,geometry_wkt
17413,4643-XY-GMS-0023,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0023.pdf,"LINESTRING (121.57552694321167 25.03053318378258, 121.57548688000081 25.03038307057253, 121.57548260831751 25.03036555101105)"
17414,4643-XY-GMS-0022,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0022.pdf,"LINESTRING (121.57562729797394 25.030425606921572, 121.57565662416617 25.030533834918725, 121.57566294254643 25.030569030449517, 121.57563950784468 25.03063395772337, 121.57561548221818 25.03066551624752, 121.57560733051011 25.030676000701636, 121.57559352897428 25.030687040843773)"
17415,4643-XY-PTA-0002,第四類,http://210.69.23.171/MSIS/PDF/4643-XY-PTA-0002.pdf,"LINESTRING (121.5756862082286 25.02935369419822, 121.57567544347559 25.029616807951868, 121.57559165609115 25.029998431810128, 121.57557306869248 25.030136247735214, 121.57557210021561 25.030226966072995, 121.57562729797394 25.030425606921572)"
17416,4643-XY-GMS-0021,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0021.pdf,"LINESTRING (121.57559560770821 25.028917275629848, 121.57561479634683 25.02902792308917, 121.57563564945688 25.02909077402288, 121.57565341052432 25.029154311973628, 121.57565516034694 25.029188999339606, 121.57567144893585 25.029277118211247, 121.5756862082286 25.02935369419822)"
17417,4643-XY-PTA-0001,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-PTA-0001.pdf,"LINESTRING (121.57556671853928 25.028751152728564, 121.57558236971036 25.028848630574277, 121.57559558301853 25.028917147602737)"
17418,4643-XY-GMS-0018,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0018.pdf,"LINESTRING (121.58019405353649 25.031928407792936, 121.58022040239535 25.031970838368593)"
17419,4643-XY-GMS-0020,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0020.pdf,"LINESTRING (121.58008882445736 25.031198852305923, 121.58018586281045 25.031202248509917, 121.58026718473207 25.031214011037363, 121.58038333099441 25.031224882514945, 121.58043978741422 25.03123895585617)"
17420,4643-XY-GMS-0012,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0012.pdf,"LINESTRING (121.57800390522542 25.03181812774024, 121.57803156021852 25.031821891052957, 121.57807619356018 25.03181978200615, 121.57812398035372 25.031809918126907, 121.57815573296183 25.03178076143546, 121.57817543735172 25.031743580255913)"
17421,4643-XY-GMS-0019,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0019.pdf,"LINESTRING (121.57817467073026 25.030691917170536, 121.57824019419606 25.03075023803879, 121.57824204754684 25.030755232980184, 121.57813650944682 25.03080451457847, 121.578119626841 25.030816668320288, 121.57808334662548 25.03086980659174)"
17422,4643-XY-GMS-0016,第四類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0016.pdf,"LINESTRING (121.5790389953011 25.03165353183729, 121.5790376919541 25.03161933778972, 121.57903214991512 25.031595978594385, 121.57901624198688 25.031573558553628, 121.5790142404902 25.03156817053837, 121.57900115237294 25.031556325085056, 121.57898730813375 25.0315428967043, 121.57895278338576 25.031516671094405, 121.57892017857756 25.031501826931716, 121.5788917788012 25.03146846186869, 121.57886887613861 25.03143961091809, 121.578840251339 25.03139802013235)"
